Section,Lon,Lat,NZE,NZN
North Island,177.968,-39.144,2939304.501,6217206.922
North Island,177.911,-39.19,2934104.387,6212377.595
North Island,177.882,-39.258,2931192.03,6204974.682
North Island,177.85201,-39.265,2928564.909,6204338.803
North Island,177.843,-39.231,2927991.851,6208150.568
North Island,177.808,-39.173,2925318.323,6214743.723
North Island,177.855,-39.115,2929722.416,6220955.881
North Island,177.82899,-39.075,2927714.404,6225511.889
North Island,177.743,-39.071,2920306.312,6226351.61
North Island,177.655,-39.064,2912740.684,6227526.052
North Island,177.534,-39.068,2902258.74,6227618.334
North Island,177.42101,-39.071,2892475.368,6227773.554
North Island,177.39,-39.079,2889751.415,6227018.249
North Island,177.308,-39.101,2882546.681,6224922.764
North Island,177.217,-39.128,2874542.54,6222302.991
North Island,177.106,-39.172,2864730.608,6217869.386
North Island,177.035,-39.22,2858361.08,6212825.071
North Island,176.995,-39.286,2854582.919,6205660.266
North Island,176.93401,-39.354,2848993.744,6198351.673
North Island,176.882,-39.408,2844254.539,6192558.379
North Island,176.87399,-39.478,2843228.037,6184824.104
North Island,176.916,-39.506,2846702.817,6181560.663
North Island,176.925,-39.587,2847080.586,6172542.149
North Island,176.951,-39.624,2849130.132,6168339.471
North Island,177.04201,-39.66,2856755.866,6163996.347
North Island,177.091,-39.662,2860945.786,6163582.929
North Island,177.022,-39.726,2854709.902,6156753.046
North Island,176.99001,-39.797,2851616.966,6149000.47
North Island,176.991,-39.859,2851393.346,6142119.05
North Island,176.955,-39.914,2848044.378,6136155.133
North Island,176.908,-39.99,2843658.74,6127901.377
North Island,176.877,-40.054,2840703.568,6120916.995
North Island,176.862,-40.122,2839096.641,6113428.473
North Island,176.82001,-40.174,2835271.873,6107813.896
North Island,176.78101,-40.224,2831716.085,6102408.491
North Island,176.69099,-40.252,2823930.48,6099624.326
North Island,176.647,-40.301,2819966.767,6094342.192
North Island,176.65401,-40.344,2820365.472,6089546.349
North Island,176.614,-40.428,2816587.848,6080364.76
North Island,176.61301,-40.495,2816200.212,6072933.337
North Island,176.507,-40.526,2807082.607,6069854.826
North Island,176.42999,-40.595,2800263.817,6062453.453
North Island,176.403,-40.625,2797852.167,6059212.431
North Island,176.345,-40.684,2792699.327,6052851.972
North Island,176.298,-40.734,2788520.755,6047452.234
North Island,176.256,-40.799,2784708.182,6040369.761
North Island,176.214,-40.887,2780808.982,6030732.426
North Island,176.185,-40.931,2778189.248,6025937.367
North Island,176.12,-41.003,2772433.624,6018141.436
North Island,176.09,-41.062,2769680.392,6011681.299
North Island,176.058,-41.133,2766717.118,6003893.824
North Island,175.989,-41.187,2760721.451,5998098.741
North Island,175.95799,-41.246,2757899.71,5991637.027
North Island,175.879,-41.283,2751145.949,5987749.831
North Island,175.841,-41.336,2747772.607,5981969.642
North Island,175.76401,-41.381,2741172.207,5977179.888
North Island,175.701,-41.417,2735779.565,5973347.571
North Island,175.638,-41.45,2730403.457,5969844.439
North Island,175.573,-41.494,2724829.536,5965121
North Island,175.519,-41.514,2720257.374,5963031.802
North Island,175.467,-41.549,2715807.667,5959269.527
North Island,175.41499,-41.565,2711420.108,5957614.344
North Island,175.34399,-41.594,2705412.537,5954555.787
North Island,175.24001,-41.611,2696696.443,5952896.038
North Island,175.207,-41.561,2694086.104,5958518.299
North Island,175.19701,-41.498,2693429.198,5965534.789
North Island,175.19501,-41.437,2693432.642,5972312.2
